Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Qualification 1,Qualification 2,Semifinal,Final,Category
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Ioannis,STAVRIANIDIS,GRE,138.0,34,0T1z05,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Eliot,BARNABÉ,FRA,197.0,1,7T8z1112,,,,4T4z64,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Dimitar,RUSEV,BUL,191.0,2,6T7z68,,,,3T4z511,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Vladimir,ZAKHAROV,RUS,195.0,3,7T7z98,,,,3T3z33,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Edvards,GRUZITIS,LAT,171.0,4,7T7z108,,,,2T4z36,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Paul,BRAND,NED,186.0,5,6T7z89,,,,2T4z38,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Jasper,VAN MALDEREN,BEL,169.0,6,6T7z912,,,,2T4z57,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Yoav,ARIELI,ISR,170.0,7,6T7z87,,,,2T4z68,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Cedric Lluc,MILLES,GER,193.0,8,6T7z711,,,,2T3z88,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Petar,ATANASOV,BUL,187.0,9,7T7z129,,,,1T4z19,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Emanuele,QUAGLIA,ITA,201.0,10,6T7z79,,,,1T4z29,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Ludwig,BREU,GER,162.0,11,6T7z1110,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Tai,TEWKESBURY,GBR,177.0,12,6T7z1210,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,François,MERTENS DE WILMAR,BEL,202.0,13,6T7z1311,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Filip,KURTOVIĆ,CRO,198.0,14,6T6z86,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Fabrice,ROHNER,SUI,185.0,15,6T6z117,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Gergő,VÁLYI,HUN,200.0,15,6T6z117,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Alon,MARON,ISR,178.0,17,6T6z1411,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Daniel,SMITH,GBR,180.0,18,5T6z86,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Martin,MIKULEC,CZE,188.0,19,5T5z107,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Lev,SHCHERBAKOV,RUS,184.0,20,5T5z118,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Attila Zsombor,RADICS,HUN,196.0,21,4T5z78,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Roko,ČAČIJA,CRO,166.0,22,4T5z116,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Michel,SIEDLER,GER,199.0,23,4T4z44,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Kristoffer Raa,DANIELSEN,NOR,192.0,24,4T4z55,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Hristo,OURUMOV,BUL,173.0,25,4T4z64,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Afonso Mano,CRISANTO,POR,163.0,26,4T4z66,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Yoan,MIHAYLOV,BUL,189.0,27,4T4z97,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Ivan,BONEV,BUL,181.0,28,3T5z49,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Emmanouil,MAVROMATIS,GRE,172.0,29,3T5z55,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Mário,RIBEIRO,POR,179.0,30,3T4z56,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Gur,BENESH-RAVIV,ISR,183.0,31,3T4z77,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Panagiotis,NANOUSIS,GRE,190.0,32,3T4z89,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Paul,CRISTEA,ROU,159.0,33,3T3z95,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Nimród Sebestyén,TUSNÁDY,HUN,161.0,34,3T3z97,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Ariel,ROIZ,ISR,158.0,35,2T5z39,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Niko,RIMAC,CRO,160.0,36,2T4z28,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Kirill,POLEVOI,RUS,164.0,37,2T4z411,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,HURŞİT İBRAHİM,KILIÇ,TUR,194.0,38,2T3z34,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,CENK,ÜNSALAN,TUR,176.0,39,1T3z26,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Konstantinos,AVRAAM,GRE,168.0,40,1T3z36,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Nuno,FERREIRA,POR,167.0,41,1T2z12,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,UMUTCAN,AYTAÇ,TUR,175.0,42,1T1z22,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,CEM,BABA,TUR,165.0,43,1T1z33,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Pierre,LE CERF,FRA,96.0,1,7T8z1212,,,,3T4z54,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Petar,IVANOV,BUL,115.0,2,8T8z119,,,,3T4z56,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Dominik,HAERTL,AUT,94.0,3,8T8z1511,,,,3T4z67,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Maximillian,MILNE,GBR,98.0,4,7T8z99,,,,3T4z68,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Matteo,MANZONI,ITA,113.0,5,7T7z137,,,,3T4z86,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Nicolai,UZNIK,AUT,109.0,6,7T8z1111,,,,2T4z24,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Max,PRINZ,GER,102.0,7,8T8z139,,,,2T4z34,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Lukas,FRANCKAERT,BEL,100.0,8,7T7z109,,,,2T4z39,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Don,VAN LAERE,NED,119.0,9,7T8z108,,,,2T4z311,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Soma,STROMMER,HUN,105.0,10,7T8z1411,,,,1T4z19,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Stefan,SCHMIEG,GER,99.0,11,6T7z1313,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Samuel,WINGARDH,SWE,97.0,12,6T7z1613,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Ymer,ALBER,SWE,110.0,13,6T6z1110,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,David,PICCOLRUAZ,ITA,108.0,14,6T6z1310,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Louis,BÉTRISEY,SUI,101.0,15,6T6z1410,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Carmel,RAZ ROMEO,ISR,118.0,16,5T6z812,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Michael,O NEILL,IRL,120.0,17,5T5z1210,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Christian,RANGE,GER,107.0,18,4T6z1211,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Samuel,OAKES,GBR,92.0,19,4T5z129,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Matthaios,VALSAMIDIS,GRE,103.0,20,3T4z69,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Sarp,SAHIN,TUR,93.0,21,3T4z108,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Jan,MACHARACEK,CZE,112.0,22,2T4z710,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Theofanis-Ermis,THEOCHAROPOULOS,GRE,106.0,23,2T2z42,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Elmir,NEDELCHEV,BUL,95.0,24,1T4z514,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Orfeas,TSIAOUSIS,GRE,111.0,25,1T3z29,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,VAHAP,KARADAĞ,TUR,116.0,26,1T2z36,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Pedro,MOTA,POR,114.0,27,1T2z48,,,,,boulder
European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 July 2018,Ahmet Yusuf,KILIC,TUR,117.0,28,0T1z03,,,,,boulder
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Heeyeon,PARK,KOR,156.0,1,4T5z47,,,1T2z35,2T4z28,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,"Mingxin, Judith",SIM,SGP,153.0,2,4T5z56,,,2T4z511,1T4z28,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Pankaew,PLYPOOLSUP,THA,163.0,3,2T4z57,,,0T4z016,1T3z47,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Puntarika,TUNYAVANICH,THA,171.0,4,5T5z55,,,2T4z69,1T2z56,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Narada,DISYABUT,THA,151.0,5,3T5z97,,,1T3z29,0T1z01,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Hoi-ying,TO,HKG,154.0,6,2T3z35,,,1T2z59,0T0z00,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Ka-yan,WONG,HKG,158.0,7,3T3z53,,,0T3z06,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Liana Nicole,MORA,PHI,170.0,8,2T4z412,,,0T3z06,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Milky Mae,TEJARES,PHI,173.0,9,1T3z14,,,0T3z011,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Angela,BUENDIA,PHI,174.0,10,2T3z25,,,0T2z04,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Shivani,CHARAK,IND,155.0,11,2T3z64,,,0T2z05,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Joanne,ALA,PHI,166.0,12,3T4z76,,,0T2z07,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Panchamaya,TAMANG,NEP,172.0,13,3T4z46,,,0T2z08,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Margarita,AGAMBAYEVA,KAZ,167.0,14,4T5z1313,,,0T1z02,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Wai-ping,YU,HKG,168.0,15,2T3z75,,,0T1z02,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Wing Sze,YUEN,HKG,161.0,16,1T3z13,,,0T1z04,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Nichamon,SAMANTARAT,THA,159.0,17,2T2z42,,,0T1z05,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Rochelle,SUAREZ,PHI,152.0,18,2T3z59,,,0T1z08,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Choy,XIN YING,SGP,169.0,19,3T5z414,,,0T0z00,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Juvelle,PUA,PHI,157.0,20,2T3z23,,,0T0z00,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Shivpreet,PANNU,IND,162.0,21,1T3z211,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Jiraporn,KAITWATCHARACHAI,THA,160.0,22,1T2z14,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Panadda,PEASAI,THA,164.0,23,0T1z02,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Ka-chun,YAU,HKG,111.0,1,2T4z414,,,1T3z610,4T4z86,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Cheung-chi Shoji,CHAN,HKG,130.0,2,3T4z710,,,4T4z1616,4T4z2016,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Chi-fung,AU,HKG,112.0,3,1T2z37,,,2T3z58,1T4z57,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Winai,RUANGRIT,THA,108.0,4,2T3z98,,,1T3z912,0T2z04,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Artyom,DEVYATERIKOV,KAZ,133.0,5,1T3z715,,,2T2z84,0T2z05,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Luke,GOH WEN BIN,SGP,107.0,6,1T2z24,,,1T2z15,0T2z011,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Gerald,VEROSIL,PHI,106.0,7,2T4z613,,,1T2z45,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Hei-yeung,LAM,HKG,103.0,8,2T4z710,,,1T2z57,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Iman,MORA,PHI,123.0,9,1T3z816,,,1T2z66,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Sirapob,JIRAJATURAPAK,THA,117.0,10,0T1z02,,,1T1z11,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Paul,EMMANUEL RYAN,SGP,102.0,11,3T4z78,,,1T1z32,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Zoren,LEGASPI,PHI,124.0,12,1T1z22,,,1T1z52,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Cheuk-hei,HO,HKG,131.0,13,1T4z419,,,0T2z03,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Chua,DENNIS,SGP,105.0,14,2T2z97,,,0T2z04,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Roman,KOVALYEV,KGZ,129.0,15,0T2z04,,,0T1z01,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,John Joseph,VELORIA,PHI,104.0,16,0T1z02,,,0T1z01,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Ching Huei,CHANG,TPE,132.0,17,0T1z01,,,0T1z07,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Sontayed,ASAVAHAME,THA,110.0,18,1T2z115,,,0T1z014,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Islamidin,KARIMOV,KGZ,128.0,19,2T3z911,,,0T0z00,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Singh,ADARSH,IND,114.0,20,1T4z1421,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Vicky,BHALERAO,IND,101.0,21,1T2z35,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Thattana,RAKSACHAT,THA,125.0,22,0T1z03,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Ivan,ISAEV,KGZ,109.0,23,0T1z05,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Wan Tong,LOK,MAC,126.0,23,0T1z05,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Siu-hei,TANG,HKG,113.0,23,0T1z05,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Nikita,DEVYATERIKOV,KAZ,116.0,26,0T1z07,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Emilio,GOMEZ,PHI,118.0,27,0T1z010,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Ymer,ALBER,SWE,127.0,28,0T0z00,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Paphon,KASEMVUDHI,THA,136.0,28,0T0z00,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Surat,KHUEANGTRACHOO,THA,121.0,28,0T0z00,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Roman,KOSTYUKOV,KAZ,119.0,28,0T0z00,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Itsara,KULIMAKIN,THA,115.0,28,0T0z00,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Glenn,LOMINOQUE,PHI,134.0,28,0T0z00,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Sangram,MALIK,IND,135.0,28,0T0z00,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Bhim,TAMANG,NEP,120.0,28,0T0z00,,,,,ldering
"Asia Cup (B,S) - Bangkok (THA) 2018",15  - 17 June 2018,Petch,VIWATSINUDOM,THA,122.0,28,0T0z00,,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Alex,PUCCIO,USA,34.0,1,,,4T5z711,3T3z44,3T3z64,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Miho,NONAKA,JPN,30.0,2,,,4T5z87,2T3z1011,2T3z34,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Akiyo,NOGUCHI,JPN,1.0,3,,4T4z75,,2T3z510,1T3z26,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Fanny,GIBERT,FRA,3.0,4,,3T4z811,,2T3z89,1T1z52,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Kyra,CONDIE,USA,36.0,5,,,2T4z69,2T2z88,0T2z04,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Alma,BESTVATER,GER,33.0,6,,,1T4z26,1T4z212,0T1z08,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Shauna,COXSEY,GBR,31.0,7,,,3T4z58,1T3z17,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Sol,SA,KOR,32.0,8,,,4T4z88,1T3z37,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Alannah,YIP,CAN,8.0,8,,2T4z38,,1T3z37,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Hannah,MEUL,GER,16.0,10,,2T3z35,,1T3z511,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Franziska,STERRER,AUT,39.0,11,,,1T4z29,1T2z37,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Lilli,KIESGEN,GER,11.0,12,,2T4z516,,1T2z58,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Mao,NAKAMURA,JPN,41.0,13,,,1T5z117,0T2z04,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Sierra,BLAIR-COYLE,USA,9.0,14,,2T2z65,,0T2z07,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Urska,REPUSIC,SLO,12.0,15,,3T5z1220,,0T2z08,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Mei,KOTAKE,JPN,6.0,16,,3T4z1213,,0T1z01,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Maya,MADERE,USA,42.0,16,,,2T4z48,0T1z01,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Berit,SCHWAIGER,AUT,37.0,18,,,2T4z24,0T1z04,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Michaela,KIERSCH,USA,26.0,18,,1T5z215,,0T1z04,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Leah,CRANE,GBR,7.0,20,,2T3z813,,0T0z00,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Brooke,RABOUTOU,USA,10.0,21,,1T4z16,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Vera,ZIJLSTRA,NED,45.0,21,,,1T3z14,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Katja,KADIC,SLO,2.0,23,,1T3z16,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Tiffany,MELIUS,AUS,53.0,23,,,1T3z18,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Bronwen,KARNIS,CAN,44.0,25,,,1T3z19,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Michaela,TRACY,GBR,4.0,25,,1T3z18,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Johanna,FÄRBER,AUT,35.0,27,,,1T3z24,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Ida,KUPS,POL,56.0,27,,,1T3z24,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Katrine,VANDET SALLING,DEN,27.0,27,,1T3z69,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Allison,VEST,CAN,17.0,30,,1T1z31,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Meagan,MARTIN,USA,15.0,31,,0T4z011,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,LaMu,RENQING,CHN,57.0,31,,,1T3z59,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Natalia,GROSSMAN,USA,54.0,33,,,1T2z12,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Margo,HAYES,USA,49.0,33,,,1T2z12,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Megan,LYNCH,USA,18.0,33,,0T3z012,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Katharina,SAURWEIN,AUT,40.0,33,,,1T2z12,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Claire,BUHRFEIND,USA,13.0,37,,0T2z02,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Rebecca,FRANGOS,CAN,21.0,38,,0T2z04,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Isabel,GIFFORD,USA,28.0,39,,0T2z06,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Alyssa,WEBER,CAN,58.0,39,,,1T2z22,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Madison,FISCHER,CAN,19.0,41,,0T2z010,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Babette,ROY,CAN,51.0,41,,,1T2z32,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Lily,CANAVAN,USA,14.0,43,,0T1z01,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Rong,JIANG,CHN,50.0,43,,,1T2z68,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Sienna,KOPF,USA,20.0,43,,0T1z01,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Heeyeon,PARK,KOR,25.0,43,,0T1z01,,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Johanna,HOLFELD,GER,43.0,47,,,0T3z04,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Hung Ying,LEE,TPE,38.0,48,,,0T3z06,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Lucia,DÖRFFEL,GER,47.0,49,,,0T2z02,,,ldering
IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,8  - 9 June 2018,Maggie,HAMMER,USA,22.0,49,,0T1z03,,,,ldering
